,Academic Courses,Learning Outcomes,Undergraduate Program,Graduate Program,Immersive Experience,Sustainability Literacy Assessment,Incentives for Developing Courses,Campus as a Living Laboratory,Research and Scholarship,Support for Sustainability Research,Open Access to Research,Student Educators Program,Student Orientation,Student Life,Outreach Materials and Publications,Outreach Campaign,Assessing Sustainability Culture,Employee Educators Program,Employee Orientation,Staff Professional Development and Training,Community Partnerships,Inter-Campus Collaboration,Continuing Education,Community Service,Participation in Public Policy,Trademark Licensing,Emissions Inventory and Disclosure,Greenhouse Gas Emissions,Building Design and Construction,Building Operations and Maintenance,Building Energy Efficiency,Clean and Renewable Energy,Food and Beverage Purchasing,Sustainable Dining,Landscape Management,Biodiversity,Sustainable Procurement,Electronics Purchasing,Cleaning and Janitorial Purchasing,Office Paper Purchasing,Campus Fleet,Commute Modal Split,Support for Sustainable Transportation,Waste Minimization and Diversion,Construction and Demolition Waste Diversion,Hazardous Waste Management,Water Use,Rainwater Management,Sustainability Coordination,Sustainability Planning,Inclusive and Participatory Governance,Reporting Assurance,Diversity and Equity Coordination,Assessing Diversity and Equity,Support for Underrepresented Groups,Affordability and Access,Committee on Investor Responsibility,Sustainable Investment,Investment Disclosure,Employee Compensation,Assessing Employee Satisfaction,Wellness Program,Workplace Health and Safety,Bicycle Friendly University,Carbon Mitigation Project Development,Community Garden,External Reporting Assurance,Fair Trade Campus,Food Bank,Green Athletics,Green Event Certification,Green Laboratory Program,Grounds Certification,Network for Student Social Innovation,Online Sustainability Course,Serving Underrepresented Students,Sustainability Projects Fund,Voter Education and Support,Innovation A,Innovation B,Innovation C,Link,Support for Research,Staff Professional Development,Outdoor Air Quality,Building Energy Consumption,Student Commute Modal Split,Employee Commute Modal Split,Participatory Governance,Pre-Submission Review,Sustainability Course Designation,Innovation D,Green Laboratories,Sustainable Dining Certification,Single-Use Plastic Ban,Certified Green Cleaning,Dining Services Certification,Diversity and Equity Recognition,Textbook Affordability,Zero Waste Certification,Wellbeing Certification,Natural Wastewater Systems,Campus Pride Index,Nitrogen Footprint,Adjunct Faculty Compensation,Pest Management Certification,Serving Underrepresented Groups,Social Enterprise,Spend Analysis,Stakeholder Engagement Standard,Stormwater Modeling,Student Living Wage,Sustainability Office Diversity Program,Water Balance,Work College,Full-Time Faculty Employment,Sanctuary Institution,Anchor Institution Network,Pay Scale Equity,NSSE Sustainability Education Consortium,Community Stakeholder Engagement,Hospital Network,Center for Sustainability Across the Curriculum,Academy-Industry Connections,Green Cleaning Certification,Fleet Certification,Laboratory Animal Welfare,Energy System Certification,Campus Water Balance,Health and Safety Management Certification,sum
unity college me,14,8,3,3,2,2,2,4,12,0,0,3.87,1.62,2,1.75,4,0,3,1,0,2,2.5,5,3.15,1.33,0,0,6.13,0,0,0,1.19,1.02,2,0.38,2,0.5,0.43,0.81,1,0.04,0,0.6,2.89,0.33,0.5,0.77,0.5,1,2.5,0,0,1.78,0.63,2,2.56,2,1.22,1,0.15,0.68,1,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/unity-college-me/report/2019-03-22/,4,2,0.5,4.55,1.52,0.12,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.19
california state university san marcos ca,6.53,1,3,0,2,4,2,4,11.94,2,1.33,2.7,2,2,2,4,1,1.38,1,1,3,3,5,1.44,2,0,1.25,5.28,1.97,1,4.99,0.01,0,1.68,1.24,2,2.75,0.89,0.68,0.36,0.81,1.21,0.8,6.08,0.59,0.5,4,2,1,3,2.75,0,1.78,1,3,2.82,0,0,0,1.92,1,1,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/california-state-university-san-marcos-ca/report/2020-12-18/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,135.18
university of colorado at boulder co,8.47,0.65,3,3,2,4,0,4,8.59,4,2,2.56,2,2,2,4,1,2.23,1,1.25,3,3,2.9,0.59,2,2,1.73,4.55,2.46,1,3.51,0.01,2.12,2,1.49,1,2.5,0.58,0.75,0.49,0.23,4.09,1,4.87,0.83,0.75,3.33,2,1,2.5,2.25,1,1.33,0.88,3,3,0,0.91,0,0.5,1,1,0.19,0.25,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/university-of-colorado-at-boulder-co/report/2021-09-22/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.09
california state university sacramento ca,7.8,3.2,3,1.5,2,2,2,4,7.76,4,1.33,2,2,2,2,4,0.25,2.63,1,1,3,3,4.86,2.07,2,1,2.52,5.63,2.21,2,3.8,0.26,0.63,1.8,0.89,2,2,0.68,0,0.04,0.62,1.78,1,3.57,0.83,0.5,3.7,1,1,3,3,0,1.44,1,3,3,0,0.57,0,1.29,1,1,1.42,0.25,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0,0,https://reports.aashe.org/institutions/california-state-university-sacramento-ca/report/2021-03-01/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,135.08
miami university oh,7.41,1.19,3,3,2,0,2,4,12,0,1,3.33,1.81,2,2,4,0,3,1,0,3,3,5,1.14,0,2,0,5.53,1.82,2,0,0.17,0.61,1.88,0,2,2.25,0.97,0.35,0.45,0,0,1.6,5.45,0.7,1,3.76,2,1,3.25,0,0,2,1,3,2.96,0,0.44,0,0,1,1,1.62,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/miami-university-oh/report/2019-03-01/,4,1.75,1,4.44,1.57,0.11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.06
university of arkansas ar,13.37,3.72,3,3,2,0,2,4,11.29,0,2,4,1.86,2,2,4,0,0,1,0,3,3,5,1.32,2,0,0,6.06,1.66,1.49,0,0,0,2,1.41,2,3,0,0,0.27,0.08,0,2,2.6,0,1,2.27,1,1,1,0,0,1.89,0.88,3,3.03,0,0,0,0,1,1,0.59,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/university-of-arkansas-ar/report/2021-03-05/,4,1.25,1,5.5,1.42,1.25,1.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.96
lewis clark college or,11.74,2.59,3,1.5,2,2,0,4,8.93,1,0,0,2,2,2,4,0,0,1,1.5,3,2.5,3,3.53,2,2,2,8,0,0.1,4.67,1.57,2.09,2,1,1,2,1,0.8,0.68,0.21,3.51,1,4.3,0,1,4,1,1,4,1.63,0,1.78,0.75,3,2.84,2,2.02,0,1.63,1,1,1.79,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,https://reports.aashe.org/institutions/lewis-clark-college-or/report/2020-03-06/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.91
texas am university tx,12.78,0,3,3,2,4,2,4,12,4,2,2.4,2,2,2,4,1,0,1,1.75,3,2.5,5,1.74,1.33,0,2.56,4.24,0.48,2,5.38,0,1.1,2,1.01,1,1.75,0.06,0.86,0.13,0.18,2.62,0.6,2.59,0.91,1,4,1,1,3,1,1,1.78,1,3,2.83,0,0,0,0.53,0,1,1.24,0,0,0,0,0.5,0.5,0.25,0,0,0.5,0,0,0,0.5,0,0,0,0,https://reports.aashe.org/institutions/texas-am-university-tx/report/2020-12-11/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.85
university of michigan mi,9.65,1.19,3,3,2,4,2,4,11.41,0,0,2.59,2,2,2,4,1,3,1,0,3,3,5,4.08,1.33,2,0,3.11,1.7,1.44,0,0.02,0,2,0.45,1,1.25,1,0.52,0.23,0.12,0,2,2.33,0.19,1,1.69,2,1,2.25,0,0,1.89,1,3,3.54,0,0,0,2.08,1,1,1.17,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/university-of-michigan-mi/report/2018-06-25/,4,1.25,1,3.16,1.76,0.5,2.25,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,134.65
emerson college ma,7.34,6.78,3,3,2,2,0,4,11.97,0,0,3.43,1.7,2,2,4,0.5,3,1,0,3,3,3.36,2.15,2,2,0,6.43,1.95,1.5,0,2.45,0,2,0,0,1.75,0.93,0.79,0.45,0,0,2,2.56,0.86,1,4,1,1,3.5,0,0,1.44,0.5,3,2.91,0,0,0,0,0.6,1,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,https://reports.aashe.org/institutions/emerson-college-ma/report/2018-03-30/,3,2,1,2.52,1.94,1.68,2.75,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.28
indiana university bloomington in,7.07,1.92,3,3,2,4,2,4,11.17,4,2,2.37,2,2,1.6,4,1,0.49,1,1.25,3,3,4.67,3.16,1.33,2,2.15,1.53,1.61,1,4.26,0.05,1.37,2,0.94,2,3,0.41,0.79,0.05,0.13,3.81,0.8,2.91,0.94,1,1.38,2,1,4,1.75,0,1.67,1,3,2.67,0,0.26,0,0.09,1,1,1.17,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,https://reports.aashe.org/institutions/indiana-university-bloomington-in/report/2020-02-26/,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,133.77
gonzaga university wa,7.66,2.68,3,3,2,0,2,4,8.75,3,1.33,1.35,2,2,2,4,0,1.7,1,0,3,2,5,2.78,1.33,2,2.9,5.01,2.3,1.15,4.56,0.99,2.29,2,0,2,2.5,0.74,0.7,0.4,0.04,0.21,1,4.84,0.81,1,4,2,1,4,1.13,1,2,1,3,2.94,0,0.69,0,0.54,1,0.75,1.43,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,https://reports.aashe.org/institutions/gonzaga-university-wa/report/2020-09-23/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,133.5
warren wilson college nc,14,8,3,0,2,0,2,4,12,4,0,3.76,1.75,2,2,4,0,0,0,0,3,2.5,0,5,0.67,0,2.19,4.11,2.5,0.37,4.88,0.01,2.71,2,0.53,2,0.5,0.98,0.9,0,0.47,3.61,0.6,4.35,0.69,0.5,0.06,2,0,4,3,0,1.67,0,1.33,1.53,2,3,0,2,0,0.75,0.5,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,https://reports.aashe.org/institutions/warren-wilson-college-nc/report/2020-03-04/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.42
state university of new york at cortland ny,6.78,1.61,3,3,2,2,2,4,8.17,0,0,2.17,2,2,2,4,1,1.87,1,0,2,2.5,3,3.79,2,2,0,6.46,1.56,1.85,0,1.31,0,2,1.65,2,3,0.89,0.73,0.44,0.24,0,2,4.57,0.73,1,2.74,1,1,3.5,0,0,1.56,1,2,2.79,0,2.06,0,0.93,1,1,1.16,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/state-university-of-new-york-at-cortland-ny/report/2019-02-25/,3,1.5,1,3.42,1.6,0.74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,133.32
university of cincinnati oh,7.56,3.86,3,3,2,4,2,4,8.96,4,2,2.17,2,2,2,4,1,1.5,1,1.25,3,2.5,3.65,1.94,1.33,1,2.83,4.2,2,2,3.43,0.07,0.91,1.88,1.37,2,2.25,0,0,0,0.02,2.45,1,2.06,0.87,0.75,2.98,2,1,2,2.5,1,1.44,1,3,2.45,0,0,0,1.25,1,1,1.38,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/university-of-cincinnati-oh/report/2020-03-06/,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.31
muhlenberg college pa,11.13,8,3,0,2,0,0,4,9.37,0,2,4,2,2,2,4,0,1.82,1,0,3,3,3,3.06,2,0,0,4.3,0.58,2,0,0.01,2.32,1.88,1,0,2.75,1,0.69,0.15,0.34,0,1.6,1.78,0.9,0.75,5,2,1,4,0,0,2,0.75,3,3.37,0,0.62,0,0.6,0,1,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/muhlenberg-college-pa/report/2018-06-06/,4,1.25,1,3.38,1.92,0.1,0.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.04
university at albany ny,9.46,1.12,3,3,2,2,2,4,11.29,0,0,4,2,2,2,4,0.5,3,1,0,3,3,4.4,3.35,1.33,2,0,5.52,2.22,2,0,0.02,1.1,1.75,0,1,1.75,0,0.85,0.46,0.18,0,1.6,2.87,0.66,1,3.6,2,1,1.75,0,0,1.44,0.63,1.75,2.99,0,0,0,0.45,0.3,1,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/university-at-albany-ny/report/2018-12-21/,3,1.25,1,4.16,1.28,0.52,2.75,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.93
new york university ny,10.53,0.75,3,3,2,2,2,3.6,11.14,0,0,4,2,2,2,4,0.5,0,0.55,0,3,3,2.67,2.84,2,2,0,5.85,1.93,1.41,0,0,0,2,2,0,2.75,0.55,0.92,0.39,0.3,0,1.6,3.76,0,1,5.08,1,1,2.75,0,0,1.33,0.88,3,3.25,0,0,0,0,1,1,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/new-york-university-ny/report/2020-02-07/,3,1.25,0.5,3.22,1.93,1.87,2.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.5
university of pennsylvania pa,4.8,0.6,3,3,2,1,2,4,8.05,4,0.67,2.2,2,2,2,4,0.5,2.25,1,1.25,3,3,4.29,2.17,2,1,1.73,3.39,2.06,0,2.82,0,4.63,2,1.09,1,2.5,0.32,0.76,0.12,0.15,3.86,1,4.02,0.7,1,2.31,1,1,4,1.88,0,1.67,1,3,3,2,2.62,0,1.19,0,1,1.88,0,0,0.5,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,https://reports.aashe.org/institutions/university-of-pennsylvania-pa/report/2021-08-09/,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.48
university of alberta ab,8.88,1.34,3,3,2,4,2,4,12,0,1,4,2,2,2,4,0,0,1,0,3,3,5,0.89,2,2,0,3.16,1.49,2.13,0,0,0.4,2,0.81,0,2.5,0.61,1,0.06,0.03,0,2,4.14,0.84,0.5,3,1,1,4,0,0,1.33,1,3,1.16,0,0.91,0.67,0.98,0,1,0.92,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,https://reports.aashe.org/institutions/university-of-alberta-ab/report/2020-06-24/,4,1.25,1,2.82,1.57,1.2,3,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.09
northern arizona university az,7.69,5.38,3,3,2,2,2,4,12,4,0.67,2.17,1.76,2,2,4,0.5,1.62,1,1.25,3,3,0,1.56,2,0,1.88,5.3,2.51,0,3.67,0.23,1.29,2,0.21,2,2.5,0.44,0,0.06,0.04,2.52,1,5.91,0.4,1,5.43,2,1,3,2.13,1,1.33,1,2,2.52,0,0,0,0.38,0,1,1.12,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/northern-arizona-university-az/report/2020-09-28/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.97
university of guelph on,14,5,3,3,2,0,0,4,12,3,1.33,2.07,2,2,2,4,0,0,0,0,3,2.5,5,3.53,2,2,2.21,3.94,1.99,0.94,3.02,0,0.72,2,1.81,2,1.25,0,0.79,0.4,0.19,3.12,0.8,2.86,0,1,0,2,1,3,3,1,1.89,1,2,0,1,0.75,0,1.58,1,1,0.86,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/university-of-guelph-on/report/2020-09-02/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.55
florida state university fl,12.79,2.33,3,3,2,1,0,4,12,0,2,3.77,2,2,2,4,0,0.79,0,0,3,3,0,3.08,1.33,2,0,3.74,1.88,1.68,0,0,0,2,2,2,2.25,0.54,0.5,0.08,0.03,0,2,3.13,0.45,1,1.66,0.5,1,4,0,0,1.78,1,3,3.24,0,0,0,0,0.35,1,0.87,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/florida-state-university-fl/report/2018-12-19/,4,1.25,1,3.26,1.11,0.29,2.75,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,131.43
university of utah ut,8.62,4.91,3,3,2,2,2,4,10.63,3,1.33,1.94,1.5,2,2,4,0,1.62,1,1.25,3,2,1.12,1.16,0,2,2.35,3.61,1.9,2,3.7,0.42,1.78,2,1,2,1.25,0,0.8,0.18,0.08,2.79,0.4,3.02,0.68,1,5.21,2,1,3,2.13,1,1.67,0.5,3,2.94,0,0,0,0.01,1,1,0.92,0.25,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/university-of-utah-ut/report/2020-10-21/,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,131.42
vassar college ny,13.77,4.06,3,0,2,2,2,4,11.02,3,1.33,3.73,2,2,2,4,0.5,0.28,1,1.25,3,2.5,0,3.28,2,2,2.29,4.67,1.61,1,3,0,0,2,1.87,2,2.5,0,0,0,0.04,4.16,1,0.67,0,1,0,2,1,4,2.75,0,1.89,1,3,3,2,1.67,0,0,0.66,1,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0.5,0,https://reports.aashe.org/institutions/vassar-college-ny/report/2021-03-04/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.25
university of miami fl,12.26,1.2,3,3,2,2,2,4,8.51,0,0,3.01,2,2,2,4,1,3,1,0,3,3,3.25,3.26,2,2,0,4.8,2.06,1.85,0,0,0,2,1.04,2,2,0.98,0.61,0.19,0.24,0,2,2.7,0.6,1,0,2,1,4,0,0,2,1,1.92,3.59,0,0.4,0,0,1,1,0.88,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,1,0,0,https://reports.aashe.org/institutions/university-of-miami-fl/report/2019-03-13/,4,1.25,0.5,3.24,1.14,1.1,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.08
university of wisconsin milwaukee wi,7.88,1.48,3,3,2,0,0,4,11.53,0,2,4,2,2,2,4,0,1.05,0.35,0,3,3,3.5,1.1,2,2,0,6.23,2.02,1.5,0,0.15,0.08,2,2,2,2.5,0.99,0.85,0.54,0,0,1.8,3.05,0.87,0.75,3.38,2,1,3.5,0,0,1.67,0.5,2.83,2.25,0,0,0.74,1.63,0.12,1,0.86,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/university-of-wisconsin-milwaukee-wi/report/2019-11-27/,3,1.25,1,4.34,1.11,0.66,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,131.06
washington university in st louis mo,6.11,1.19,3,3,2,0,2,4,10.32,0,2,4,2,2,2,4,0,0.73,1,0,3,3,5,3.75,1.33,2,0,3.63,2.26,1.5,0,0,0.89,2,1.04,2,2.5,0.99,0.74,0.08,0.12,0,2,3.81,0.84,1,0.58,1,1,3.25,0,0,1.78,1,3,3.73,0,0,0,0.87,1,1,0.59,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/washington-university-in-st-louis-mo/report/2018-03-02/,4,1.25,0.5,4.22,1.66,0.72,1,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.98
hec montreal pa,11.05,1.8,3,3,2,0,2,4,12,3,0.67,2.1,2,1.75,2,4,0.5,0,0,1,3,3,4.16,3.38,2,1,2.21,5.87,0,1.76,5.91,0,1.99,2,2,2,1.5,0.61,0.94,0.87,0,3.78,0.8,4.49,0.88,1,0,0,1,4,1.75,0,1.33,0.75,1.5,0,0,0,0,2.5,1,0.75,1.33,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0.5,0,0,https://reports.aashe.org/institutions/hec-montreal-pa/report/2021-02-10/,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,130.93
university of south florida tampa fl,10.73,0.91,3,3,2,4,2,3.6,12,0,0,3.25,2,2,2,4,0.5,0,1,0,3,3,5,0.97,2,2,0,4.45,1.88,1.5,0,1.3,0.42,2,1.4,2,2.75,0.63,1,0.14,0.49,0,2,4.67,0.88,1,0,2,1,0.5,0,0,1.33,0.75,2.83,2.98,1,0,0,0.3,0,1,0.71,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,https://reports.aashe.org/institutions/university-of-south-florida-tampa-fl/report/2018-02-19/,4,1.5,0.5,5.67,0.9,0.28,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.47
bennington college vt,4.28,4.27,3,3,2,0,2,4,12,4,2,2.09,2,2,2,4,1,1.72,1,1.25,3,3,0,5,1.33,0,1.88,6.8,2.5,1,4.2,3.33,2.8,2,1.92,2,0.25,0.73,0,0.2,0.14,2.98,1,1.1,0.97,1,0,2,1,2.5,2.5,0,2,0.88,1.75,3,0.5,0,0,0,1,0.75,1.52,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/bennington-college-vt/report/2021-05-13/,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.14
james madison university va,5.02,6.8,3,3,2,4,2,4,11.55,0,0,2.4,1.88,2,2,4,1,2.64,1,0,3,3,3,3.62,2,2,0,3.4,1.89,0.91,0,0.07,0.3,2,1,2,2,0.76,0.79,0.37,0.05,0,1.8,3.06,0.89,1,0,2,1,4,0,0,1.33,0.5,3,2.69,0,0,0,0.12,1,1,0.65,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,1,https://reports.aashe.org/institutions/james-madison-university-va/report/2018-12-21/,4,1.25,1,1.82,1,0.26,1.25,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,130.07
virginia commonwealth university va,4.54,4.62,3,3,2,1,2,4,7.55,4,2,3.09,2,2,2,4,0.5,0.84,1,1.25,3,2,0,3.51,2,2,2.46,3.77,2.11,1,4.68,0.04,0,1.63,1,2,2,0.95,0.88,0.41,0.01,3.23,1,5.37,0.8,1,4,2,1,3,2.63,0,2,1,3,2.33,0,0,0,0.2,1,1,1.64,0.25,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,https://reports.aashe.org/institutions/virginia-commonwealth-university-va/report/2021-08-27/,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,130.04
